yeast8_id,Substrate_type,reaction,num
s_1494,C,"['rxn9492', 'rxn10713', 'rxn5923', 'rxn1014']",4
s_2822,C,"['rxn23144', 'rxn9474']",2
s_1022,C,"['rxn33834', 'rxn33835', 'rxn33836', 'rxn33837', 'rxn33841', 'rxn33006', 'rxn14470', 'rxn7328', 'rxn10550', 'rxn6333', 'rxn7139', 'rxn235', 'rxn236', 'rxn1241', 'rxn1247', 'rxn1248']",16
s_1057,C,"['rxn33834', 'rxn33835', 'rxn33836', 'rxn33837', 'rxn33841', 'rxn33006', 'rxn14470', 'rxn7328', 'rxn10550', 'rxn6333', 'rxn7139', 'rxn235', 'rxn236', 'rxn1241', 'rxn1247', 'rxn1248']",16
s_0684,C,"['rxn37639', 'rxn390', 'rxn401']",3
s_0560,C,"['rxn39714', 'rxn39734', 'rxn39735', 'rxn39736', 'rxn39738', 'rxn39739', 'rxn39740', 'rxn48424', 'rxn11780', 'rxn12075', 'rxn12080', 'rxn12081', 'rxn12483', 'rxn49880', 'rxn55763', 'rxn57854', 'rxn62672', 'rxn62673', 'rxn8914', 'rxn8915', 'rxn9794', 'rxn11070', 'rxn11071', 'rxn5860', 'rxn3961', 'rxn3963', 'rxn3964', 'rxn4050', 'rxn4051', 'rxn4064', 'rxn4065', 'rxn4090', 'rxn4091', 'rxn4116', 'rxn4117', 'rxn4281', 'rxn1432', 'rxn1433', 'rxn1438', 'rxn1441', 'rxn1451', 'rxn1464', 'rxn1485', 'rxn1512', 'rxn1565', 'rxn1566', 'rxn1597', 'rxn1908', 'rxn1911', 'rxn1912', 'rxn1920', 'rxn77', 'rxn1181']",53
s_1017,C,"['rxn33834', 'rxn33835', 'rxn33836', 'rxn33837', 'rxn33841', 'rxn33006', 'rxn14470', 'rxn7328', 'rxn10550', 'rxn6333', 'rxn7139', 'rxn235', 'rxn236', 'rxn1241', 'rxn1247', 'rxn1248']",16
s_1309,C,"['rxn39714', 'rxn39734', 'rxn39735', 'rxn39736', 'rxn39738', 'rxn39739', 'rxn39740', 'rxn48424', 'rxn11780', 'rxn12075', 'rxn12076', 'rxn12483', 'rxn62672', 'rxn62673', 'rxn9794', 'rxn11070', 'rxn11071', 'rxn3961', 'rxn3963', 'rxn3964', 'rxn4281', 'rxn1432', 'rxn1438', 'rxn1441', 'rxn1451', 'rxn1456', 'rxn1458', 'rxn1907', 'rxn1908', 'rxn1920', 'rxn77']",31
s_1033,C,"['rxn27095', 'rxn33834', 'rxn33835', 'rxn33836', 'rxn33837', 'rxn33841', 'rxn33006', 'rxn36431', 'rxn36639', 'rxn14470', 'rxn46364', 'rxn46365', 'rxn46399', 'rxn46401', 'rxn46402', 'rxn46413', 'rxn46415', 'rxn46416', 'rxn12681', 'rxn48000', 'rxn31900', 'rxn12969', 'rxn13360', 'rxn13373', 'rxn63895', 'rxn7328', 'rxn8159', 'rxn10454', 'rxn10550', 'rxn6333', 'rxn7139', 'rxn5708', 'rxn5710', 'rxn5714', 'rxn4307', 'rxn158', 'rxn235', 'rxn236', 'rxn241', 'rxn260', 'rxn420', 'rxn1241', 'rxn1247', 'rxn1248']",44
s_1030,C,"['rxn20321', 'rxn20322', 'rxn24984', 'rxn24997', 'rxn25010', 'rxn25036', 'rxn22301', 'rxn18956', 'rxn18957', 'rxn32350', 'rxn37647', 'rxn14470', 'rxn14652', 'rxn14656', 'rxn14815', 'rxn39936', 'rxn39937', 'rxn39975', 'rxn39980', 'rxn40171', 'rxn40173', 'rxn40174', 'rxn45314', 'rxn11556', 'rxn46882', 'rxn47421', 'rxn55758', 'rxn57110', 'rxn57112', 'rxn54521', 'rxn54522', 'rxn31531', 'rxn31547', 'rxn62440', 'rxn13808', 'rxn13810', 'rxn13880', 'rxn14120', 'rxn14121', 'rxn14122', 'rxn14123', 'rxn14124', 'rxn16682', 'rxn16683', 'rxn16684', 'rxn16685', 'rxn16686', 'rxn16746', 'rxn16800', 'rxn16801', 'rxn65874', 'rxn69970', 'rxn69996', 'rxn70009', 'rxn70022', 'rxn70035', 'rxn70061', 'rxn70087', 'rxn70411', 'rxn8913', 'rxn9334', 'rxn9335', 'rxn9337', 'rxn9474', 'rxn9492', 'rxn9598', 'rxn9602', 'rxn9604', 'rxn9607', 'rxn9620', 'rxn9641', 'rxn7496', 'rxn7534', 'rxn8091', 'rxn8497', 'rxn10155', 'rxn10167', 'rxn10581', 'rxn10679', 'rxn10680', 'rxn10681', 'rxn10682', 'rxn11227', 'rxn11228', 'rxn6529', 'rxn6568', 'rxn6569', 'rxn6570', 'rxn6571', 'rxn6669', 'rxn6727', 'rxn6728', 'rxn4483', 'rxn4484', 'rxn4915', 'rxn5153', 'rxn5154', 'rxn5318', 'rxn5417', 'rxn5809', 'rxn3897', 'rxn4090', 'rxn4091', 'rxn4306', 'rxn1625', 'rxn1670', 'rxn1673', 'rxn1675', 'rxn1677', 'rxn1681', 'rxn1693', 'rxn1695', 'rxn2522', 'rxn2560', 'rxn2561', 'rxn2578', 'rxn2579', 'rxn2584', 'rxn2586', 'rxn2593', 'rxn2597', 'rxn2601', 'rxn2761', 'rxn2767', 'rxn2768', 'rxn2773', 'rxn109', 'rxn111', 'rxn113', 'rxn116', 'rxn241', 'rxn420', 'rxn452', 'rxn742', 'rxn826']",135
s_2824,C,"['rxn22126', 'rxn22489', 'rxn65080', 'rxn2774']",4
s_0133,C,"['rxn32967', 'rxn32968', 'rxn32970', 'rxn33031', 'rxn33032', 'rxn33034', 'rxn38131', 'rxn6326', 'rxn2021']",9
s_1390,N,"['rxn14110', 'rxn14111', 'rxn14112', 'rxn14113', 'rxn14114', 'rxn14120', 'rxn14121', 'rxn14122', 'rxn14123', 'rxn14124', 'rxn16677', 'rxn16678', 'rxn16679', 'rxn16680', 'rxn16681', 'rxn16682', 'rxn16683', 'rxn16684', 'rxn16685', 'rxn16686', 'rxn70221', 'rxn9620', 'rxn9641', 'rxn8497', 'rxn8498', 'rxn11227', 'rxn116', 'rxn642', 'rxn643']",29
s_0684,N,"['rxn37639', 'rxn390']",2
